id,PM10,pora_dnia,lc_code,lc_name
26,42.5325641025641,"[8,16)",2,Artificial surfaces
26,49.86375,"[16,24]",2,Artificial surfaces
5,38.38090909090909,"[0,8)",2,Artificial surfaces
5,40.37980769230769,"[8,16)",2,Artificial surfaces
5,46.498898305084744,"[16,24]",2,Artificial surfaces
43,31.7646511627907,"[0,8)",2,Artificial surfaces
43,33.21378205128205,"[8,16)",2,Artificial surfaces
43,38.801833333333335,"[16,24]",2,Artificial surfaces
27,26.242619047619048,"[0,8)",2,Artificial surfaces
27,27.23566878980892,"[8,16)",2,Artificial surfaces
27,33.478,"[16,24]",2,Artificial surfaces
39,36.11365853658537,"[0,8)",2,Artificial surfaces
39,37.518193548387096,"[8,16)",2,Artificial surfaces
39,44.003166666666665,"[16,24]",2,Artificial surfaces
17,27.023658536585366,"[0,8)",2,Artificial surfaces
17,33.364871794871796,"[8,16)",2,Artificial surfaces
17,40.6805,"[16,24]",2,Artificial surfaces
50,29.002325581395347,"[0,8)",2,Artificial surfaces
50,32.43397435897436,"[8,16)",2,Artificial surfaces
50,37.815333333333335,"[16,24]",2,Artificial surfaces
24,32.07121951219512,"[0,8)",2,Artificial surfaces
24,33.76700636942675,"[8,16)",2,Artificial surfaces
24,40.75425,"[16,24]",2,Artificial surfaces
49,34.517380952380954,"[0,8)",2,Artificial surfaces
49,36.4743949044586,"[8,16)",2,Artificial surfaces
49,40.724833333333336,"[16,24]",2,Artificial surfaces
33,32.212380952380954,"[0,8)",2,Artificial surfaces
33,37.11141025641026,"[8,16)",2,Artificial surfaces
33,42.3415,"[16,24]",2,Artificial surfaces
61,37.75025,"[0,8)",2,Artificial surfaces
61,39.48487179487179,"[8,16)",2,Artificial surfaces
61,46.341166666666666,"[16,24]",2,Artificial surfaces
1,30.560731707317075,"[0,8)",2,Artificial surfaces
1,33.15121794871795,"[8,16)",2,Artificial surfaces
1,39.5685593220339,"[16,24]",2,Artificial surfaces
47,27.24452380952381,"[0,8)",2,Artificial surfaces
47,28.439808917197453,"[8,16)",2,Artificial surfaces
47,34.48033613445378,"[16,24]",2,Artificial surfaces
68,29.74878048780488,"[0,8)",2,Artificial surfaces
68,31.01626582278481,"[8,16)",2,Artificial surfaces
68,36.649663865546216,"[16,24]",2,Artificial surfaces
133,38.42595238095238,"[0,8)",2,Artificial surfaces
133,39.540129032258065,"[8,16)",2,Artificial surfaces
133,50.97708333333333,"[16,24]",2,Artificial surfaces
40,33.09095238095238,"[0,8)",2,Artificial surfaces
40,35.79309677419355,"[8,16)",2,Artificial surfaces
40,42.03285714285715,"[16,24]",2,Artificial surfaces
119,26.161951219512197,"[0,8)",2,Artificial surfaces
119,27.009358974358975,"[8,16)",2,Artificial surfaces
119,33.72093220338983,"[16,24]",2,Artificial surfaces
77,57.91219512195122,"[0,8)",2,Artificial surfaces
77,57.59149350649351,"[8,16)",2,Artificial surfaces
77,65.20575,"[16,24]",2,Artificial surfaces
54,53.316,"[0,8)",2,Artificial surfaces
54,51.43320512820513,"[8,16)",2,Artificial surfaces
54,62.65983333333333,"[16,24]",2,Artificial surfaces
60,33.72190476190476,"[0,8)",2,Artificial surfaces
60,34.01732484076433,"[8,16)",2,Artificial surfaces
60,41.09252100840336,"[16,24]",2,Artificial surfaces
100,29.567560975609755,"[0,8)",2,Artificial surfaces
100,29.92367741935484,"[8,16)",2,Artificial surfaces
100,35.251083333333334,"[16,24]",2,Artificial surfaces
4,27.52952380952381,"[0,8)",2,Artificial surfaces
4,29.591337579617836,"[8,16)",2,Artificial surfaces
4,35.44691666666667,"[16,24]",2,Artificial surfaces
37,35.602380952380955,"[0,8)",2,Artificial surfaces
37,40.58554838709677,"[8,16)",2,Artificial surfaces
37,45.3709243697479,"[16,24]",2,Artificial surfaces
8,34.68452380952381,"[0,8)",2,Artificial surfaces
8,37.62871794871795,"[8,16)",2,Artificial surfaces
8,48.647,"[16,24]",2,Artificial surfaces
2,25.752142857142857,"[0,8)",2,Artificial surfaces
2,27.348774193548387,"[8,16)",2,Artificial surfaces
2,33.39949579831933,"[16,24]",2,Artificial surfaces
9,30.609268292682927,"[0,8)",2,Artificial surfaces
9,38.33328947368421,"[8,16)",2,Artificial surfaces
9,40.17899159663865,"[16,24]",2,Artificial surfaces
79,31.308780487804878,"[0,8)",2,Artificial surfaces
79,34.46820512820513,"[8,16)",2,Artificial surfaces
79,39.77483333333333,"[16,24]",2,Artificial surfaces
69,22.609024390243903,"[0,8)",2,Artificial surfaces
69,23.591103896103895,"[8,16)",2,Artificial surfaces
69,30.63436974789916,"[16,24]",2,Artificial surfaces
14,34.770731707317076,"[0,8)",2,Artificial surfaces
14,42.00283870967742,"[8,16)",2,Artificial surfaces
14,46.79478991596638,"[16,24]",2,Artificial surfaces
55,30.47047619047619,"[0,8)",2,Artificial surfaces
55,32.71656050955414,"[8,16)",2,Artificial surfaces
55,38.81008333333333,"[16,24]",2,Artificial surfaces
56,19.287857142857142,"[0,8)",2,Artificial surfaces
56,22.41326923076923,"[8,16)",2,Artificial surfaces
56,24.879083333333334,"[16,24]",2,Artificial surfaces
19,29.94951219512195,"[0,8)",2,Artificial surfaces
19,35.70707006369427,"[8,16)",2,Artificial surfaces
19,42.09491666666667,"[16,24]",2,Artificial surfaces
34,34.881951219512196,"[0,8)",2,Artificial surfaces
34,37.12116129032258,"[8,16)",2,Artificial surfaces
34,44.77428571428572,"[16,24]",2,Artificial surfaces
45,31.125,"[0,8)",2,Artificial surfaces
45,35.52516339869281,"[8,16)",2,Artificial surfaces
45,41.96791666666667,"[16,24]",2,Artificial surfaces
121,44.9225,"[0,8)",2,Artificial surfaces
121,42.82807692307692,"[8,16)",2,Artificial surfaces
121,54.6495,"[16,24]",2,Artificial surfaces
158,31.164285714285715,"[0,8)",1,Agricultural areas
158,30.12298611111111,"[8,16)",1,Agricultural areas
158,35.58982456140351,"[16,24]",1,Agricultural areas
111,32.187380952380956,"[0,8)",2,Artificial surfaces
111,31.465460526315788,"[8,16)",2,Artificial surfaces
111,44.82275,"[16,24]",2,Artificial surfaces
112,27.611463414634144,"[0,8)",2,Artificial surfaces
112,27.37647435897436,"[8,16)",2,Artificial surfaces
112,34.677,"[16,24]",2,Artificial surfaces
137,37.4609756097561,"[0,8)",1,Agricultural areas
137,36.253246753246756,"[8,16)",1,Agricultural areas
137,35.745916666666666,"[16,24]",1,Agricultural areas
90,27.87829268292683,"[0,8)",2,Artificial surfaces
90,29.60403846153846,"[8,16)",2,Artificial surfaces
90,35.36558333333333,"[16,24]",2,Artificial surfaces
151,35.26365853658537,"[0,8)",1,Agricultural areas
151,34.98090322580645,"[8,16)",1,Agricultural areas
151,43.90975,"[16,24]",1,Agricultural areas
174,30.61268292682927,"[0,8)",1,Agricultural areas
174,32.5961935483871,"[8,16)",1,Agricultural areas
174,39.26875,"[16,24]",1,Agricultural areas
115,26.02230769230769,"[0,8)",1,Agricultural areas
115,27.331410256410255,"[8,16)",1,Agricultural areas
115,34.58133333333333,"[16,24]",1,Agricultural areas
167,29.07048780487805,"[0,8)",2,Artificial surfaces
167,31.510261437908497,"[8,16)",2,Artificial surfaces
167,37.29703389830509,"[16,24]",2,Artificial surfaces
136,28.782631578947367,"[0,8)",1,Agricultural areas
136,29.927898089171975,"[8,16)",1,Agricultural areas
136,36.263220338983054,"[16,24]",1,Agricultural areas
191,36.427142857142854,"[0,8)",2,Artificial surfaces
191,37.74903846153846,"[8,16)",2,Artificial surfaces
191,45.88364406779661,"[16,24]",2,Artificial surfaces
134,31.225348837209303,"[0,8)",2,Artificial surfaces
134,33.989675324675325,"[8,16)",2,Artificial surfaces
134,41.84133333333333,"[16,24]",2,Artificial surfaces
197,52.673095238095236,"[0,8)",1,Agricultural areas
197,48.25448717948718,"[8,16)",1,Agricultural areas
197,59.974333333333334,"[16,24]",1,Agricultural areas
113,33.13813953488372,"[0,8)",2,Artificial surfaces
113,35.41051612903226,"[8,16)",2,Artificial surfaces
113,48.4055,"[16,24]",2,Artificial surfaces
